_id,Timeseries,Prov,OCCUPATION,Labour force,Employed,Unemployed,Unemployment rate
1,1987,Canada,"Total, all occupations - All skills level",13526,12333,1193,8.8
2,1987,Canada, Management,1372.9,1332.4,40.5,2.9
3,1987,Canada,Professional: occupations usually require university education,1671.1,1616.3,54.8,3.3
4,1987,Canada,NOC skill level B: occupations usually require college education or apprenticeship training,4299.3,4030.5,268.8,6.3
5,1987,Canada,NOC skill level C: occupations usually require secondary school and/or occupation-specific training,4314.2,3967.5,346.7,8
6,1987,Canada,NOC skill level D: on-the-job training is usually provided for these occupations,1579.3,1386.3,193,12.2
7,1987,Canada, Unclassified,289.2,0,289.2,100
8,1987,Newfoundland and Labrador,"Total, all occupations - All skills level",231.6,190.3,41.3,17.8
9,1987,Newfoundland and Labrador, Management,15.6,14.9,0.7,4.5
10,1987,Newfoundland and Labrador,Professional: occupations usually require university education,26.6,25.4,1.2,4.5
11,1987,Newfoundland and Labrador,NOC skill level B: occupations usually require college education or apprenticeship training,76.3,66.6,9.7,12.7
12,1987,Newfoundland and Labrador,NOC skill level C: occupations usually require secondary school and/or occupation-specific training,71.8,58.2,13.6,18.9
13,1987,Newfoundland and Labrador,NOC skill level D: on-the-job training is usually provided for these occupations,33,25.2,7.8,23.6
14,1987,Newfoundland and Labrador, Unclassified,8.3,0,8.3,100
15,1987,Prince Edward Island,"Total, all occupations - All skills level",60.9,53.4,7.5,12.3
16,1987,Prince Edward Island, Management,7.8,7.6,0.2,2.6
17,1987,Prince Edward Island,Professional: occupations usually require university education,5.7,5.5,0.2,3.5
18,1987,Prince Edward Island,NOC skill level B: occupations usually require college education or apprenticeship training,18.3,16.5,1.8,9.8
19,1987,Prince Edward Island,NOC skill level C: occupations usually require secondary school and/or occupation-specific training,19.6,16.8,2.8,14.3
20,1987,Prince Edward Island,NOC skill level D: on-the-job training is usually provided for these occupations,8.8,7.1,1.7,19.3
21,1987,Prince Edward Island, Unclassified,0.9,0,0.9,100
22,1987,Nova Scotia,"Total, all occupations - All skills level",408.1,359,49.1,12
23,1987,Nova Scotia, Management,35.4,33.7,1.7,4.8
24,1987,Nova Scotia,Professional: occupations usually require university education,48.1,45.7,2.4,5
25,1987,Nova Scotia,NOC skill level B: occupations usually require college education or apprenticeship training,126.1,114.4,11.6,9.2
26,1987,Nova Scotia,NOC skill level C: occupations usually require secondary school and/or occupation-specific training,133,118.4,14.6,11
27,1987,Nova Scotia,NOC skill level D: on-the-job training is usually provided for these occupations,55.2,46.7,8.5,15.4
28,1987,Nova Scotia, Unclassified,10.3,0,10.3,100
